Generated by opendatacommunities.org,2013-09-06T16:43:01+01:00
http://opendatacommunities.org/data/societal-wellbeing/deprivation/imd-rank-la-2010,"Index of Multiple Deprivation 2010, Local Authority District Rank of Average Rank"

,,http://reference.data.gov.uk/id/year/2010
http://statistics.data.gov.uk/id/statistical-geography/E07000187,E07000187 Mendip,178
http://statistics.data.gov.uk/id/statistical-geography/E07000188,E07000188 Sedgemoor,154
http://statistics.data.gov.uk/id/statistical-geography/E07000189,E07000189 South Somerset,202
http://statistics.data.gov.uk/id/statistical-geography/E07000190,E07000190 Taunton Deane,183
http://statistics.data.gov.uk/id/statistical-geography/E07000191,E07000191 West Somerset,45
http://statistics.data.gov.uk/id/statistical-geography/E07000192,E07000192 Cannock Chase,123
http://statistics.data.gov.uk/id/statistical-geography/E07000193,E07000193 East Staffordshire,160
http://statistics.data.gov.uk/id/statistical-geography/E07000194,E07000194 Lichfield,237
http://statistics.data.gov.uk/id/statistical-geography/E07000195,E07000195 Newcastle-under-Lyme,152
http://statistics.data.gov.uk/id/statistical-geography/E07000196,E07000196 South Staffordshire,247
http://statistics.data.gov.uk/id/statistical-geography/E07000197,E07000197 Stafford,239
http://statistics.data.gov.uk/id/statistical-geography/E07000198,E07000198 Staffordshire Moorlands,181
http://statistics.data.gov.uk/id/statistical-geography/E07000199,E07000199 Tamworth,140
http://statistics.data.gov.uk/id/statistical-geography/E07000200,E07000200 Babergh,233
http://statistics.data.gov.uk/id/statistical-geography/E07000201,E07000201 Forest Heath,218
http://statistics.data.gov.uk/id/statistical-geography/E07000202,E07000202 Ipswich,87
http://statistics.data.gov.uk/id/statistical-geography/E07000203,E07000203 Mid Suffolk,274
http://statistics.data.gov.uk/id/statistical-geography/E07000204,E07000204 St Edmundsbury,220
http://statistics.data.gov.uk/id/statistical-geography/E07000205,E07000205 Suffolk Coastal,257
http://statistics.data.gov.uk/id/statistical-geography/E07000206,E07000206 Waveney,112
http://statistics.data.gov.uk/id/statistical-geography/E07000207,E07000207 Elmbridge,322
http://statistics.data.gov.uk/id/statistical-geography/E07000208,E07000208 Epsom and Ewell,308
http://statistics.data.gov.uk/id/statistical-geography/E07000209,E07000209 Guildford,300
http://statistics.data.gov.uk/id/statistical-geography/E07000210,E07000210 Mole Valley,310
http://statistics.data.gov.uk/id/statistical-geography/E07000211,E07000211 Reigate and Banstead,296
http://statistics.data.gov.uk/id/statistical-geography/E07000212,E07000212 Runnymede,292
http://statistics.data.gov.uk/id/statistical-geography/E07000213,E07000213 Spelthorne,262
http://statistics.data.gov.uk/id/statistical-geography/E07000214,E07000214 Surrey Heath,324
http://statistics.data.gov.uk/id/statistical-geography/E07000215,E07000215 Tandridge,284
http://statistics.data.gov.uk/id/statistical-geography/E07000216,E07000216 Waverley,320
http://statistics.data.gov.uk/id/statistical-geography/E07000217,E07000217 Woking,294
http://statistics.data.gov.uk/id/statistical-geography/E07000218,E07000218 North Warwickshire,172
http://statistics.data.gov.uk/id/statistical-geography/E07000219,E07000219 Nuneaton and Bedworth,115
http://statistics.data.gov.uk/id/statistical-geography/E07000220,E07000220 Rugby,225
http://statistics.data.gov.uk/id/statistical-geography/E07000221,E07000221 Stratford-on-Avon,271
http://statistics.data.gov.uk/id/statistical-geography/E07000222,E07000222 Warwick,260
http://statistics.data.gov.uk/id/statistical-geography/E07000223,E07000223 Adur,135
http://statistics.data.gov.uk/id/statistical-geography/E07000224,E07000224 Arun,151
http://statistics.data.gov.uk/id/statistical-geography/E07000225,E07000225 Chichester,213
http://statistics.data.gov.uk/id/statistical-geography/E07000226,E07000226 Crawley,157
http://statistics.data.gov.uk/id/statistical-geography/E07000227,E07000227 Horsham,301
http://statistics.data.gov.uk/id/statistical-geography/E07000228,E07000228 Mid Sussex,314
http://statistics.data.gov.uk/id/statistical-geography/E07000229,E07000229 Worthing,162
http://statistics.data.gov.uk/id/statistical-geography/E07000234,E07000234 Bromsgrove,280
http://statistics.data.gov.uk/id/statistical-geography/E07000235,E07000235 Malvern Hills,223
http://statistics.data.gov.uk/id/statistical-geography/E07000236,E07000236 Redditch,131
http://statistics.data.gov.uk/id/statistical-geography/E07000237,E07000237 Worcester,156
http://statistics.data.gov.uk/id/statistical-geography/E07000238,E07000238 Wychavon,226
http://statistics.data.gov.uk/id/statistical-geography/E07000239,E07000239 Wyre Forest,128
http://statistics.data.gov.uk/id/statistical-geography/E08000001,E08000001 Bolton,48
http://statistics.data.gov.uk/id/statistical-geography/E08000002,E08000002 Bury,119
http://statistics.data.gov.uk/id/statistical-geography/E08000003,E08000003 Manchester,4
http://statistics.data.gov.uk/id/statistical-geography/E08000004,E08000004 Oldham,46
http://statistics.data.gov.uk/id/statistical-geography/E08000005,E08000005 Rochdale,29
http://statistics.data.gov.uk/id/statistical-geography/E08000006,E08000006 Salford,26
http://statistics.data.gov.uk/id/statistical-geography/E08000007,E08000007 Stockport,167
http://statistics.data.gov.uk/id/statistical-geography/E08000008,E08000008 Tameside,34
http://statistics.data.gov.uk/id/statistical-geography/E08000009,E08000009 Trafford,190
http://statistics.data.gov.uk/id/statistical-geography/E08000010,E08000010 Wigan,85
http://statistics.data.gov.uk/id/statistical-geography/E08000011,E08000011 Knowsley,12
http://statistics.data.gov.uk/id/statistical-geography/E08000012,E08000012 Liverpool,5
http://statistics.data.gov.uk/id/statistical-geography/E08000013,E08000013 St. Helens,64
http://statistics.data.gov.uk/id/statistical-geography/E08000014,E08000014 Sefton,114
http://statistics.data.gov.uk/id/statistical-geography/E08000015,E08000015 Wirral,103
http://statistics.data.gov.uk/id/statistical-geography/E08000016,E08000016 Barnsley,44
http://statistics.data.gov.uk/id/statistical-geography/E08000017,E08000017 Doncaster,39
http://statistics.data.gov.uk/id/statistical-geography/E08000018,E08000018 Rotherham,52
http://statistics.data.gov.uk/id/statistical-geography/E08000019,E08000019 Sheffield,84
http://statistics.data.gov.uk/id/statistical-geography/E08000020,E08000020 Gateshead,42
http://statistics.data.gov.uk/id/statistical-geography/E08000021,E08000021 Newcastle upon Tyne,66
http://statistics.data.gov.uk/id/statistical-geography/E08000022,E08000022 North Tyneside,124
http://statistics.data.gov.uk/id/statistical-geography/E08000023,E08000023 South Tyneside,47
