Body name,Body,"Full Property Address","Post Code","Analysis Code of Last 2010 Valuation","NDR - Analysis code description"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","870, High Road, Chadwell Heath, Romford, Essex","RM6 4HX","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","852, High Road, Chadwell Heath, Romford","RM6 4HU","CS10","Retail Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","888b, High Road, Chadwell Heath, Romford, Essex","RM6 4HU","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","O/S Greyhound Harvester, 900, High Road, Chadwell Heath, Romford, Essex","RM6 4HU","CA","Advertising Right"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","The Greyhound, 900, High Road, Romford","RM6 4HU","CL","Public House And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","888, High Road, Chadwell Heath, Romford, Essex","RM6 4HU","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 11-12, 895, High Road, Chadwell Heath, Romford, Essex","RM6 4HU","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","D J Empire, 888, High Road, Chadwell Heath, Romford, Essex","RM6 4HU","CS7","Showroom And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","888a, High Road, Chadwell Heath, Romford, Essex","RM6 4HU","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","1st Flr Store At Trafalgar House, 891, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","CW3","Store And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 4 At Trafalgar House, 891, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","IF","Factory And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Ground Floor Front, 891, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","1st Floor North, 891, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","LX","Other Leisure"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","893a, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","883, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","CS","Shop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Ground Floor Rear, 891, High Road, Chadwell Heath, Romford, Essex","RM6 4HR","CW","Warehouse And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Orange P C S ( G L N 3096 ), At 895 High Road, Chadwell Heath, Romford, Essex","RM6 4HL","MT1","Communication Station And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Gnd F Front, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CX","Other Commercial"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 1 R/O, 895, High Road, Chadwell Heath, Romford","RM6 4HL","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 6 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite1 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 5 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 2 R/O, 895, High Road, Chadwell Heath, Romford","RM6 4HL","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 17 At 1st Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 18 At 1st Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 14 At 1st Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 13 At 1st Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 15 At 1st Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 16 At 1st Floor, 895, High Road, Chadwell Heath, Romford, Essex","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 7 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 3 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 8 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 2 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 10 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 4 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Unit 3 R/O , 895, High Road, Chadwell Heath, Romford","RM6 4HL","IF3","Workshop And Premises"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","Suite 9 First Floor, 895, High Road, Chadwell Heath, Romford","RM6 4HL","CO","Office And Premises"
