Body name,Body,"Year","School","Places Available","Applications Received by deadline","Places Offered","Looked After","Exceptional","Special Educational Needs","Sibling","Distance","Notes"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Highlands Primary School",90,190,90,0,0,2,36,52,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Highlands Primary School",90,232,90,0,0,0,46,44,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Highlands Primary School",90,245,91,0,0,0,37,54,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Highlands Primary School",90,314,90,0,0,0,45,45,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Highlands Primary School",90,336,89,0,0,0,50,39,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Highlands Primary School",90,278,90,1,0,1,48,40,"0.645"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","John Bramston Primary School",60,123,60,1,0,1,26,32,"3.624"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","John Bramston Primary School",60,132,59,0,0,0,25,34,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","John Bramston Primary School",60,129,60,0,0,0,18,42,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","John Bramston Primary School",60,86,38,0,0,0,11,27,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","John Bramston Primary School",60,87,36,0,0,0,19,17,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","John Bramston Primary School",60,62,31,0,0,0,10,21,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Loxford School Of Science & Technology",120,265,108,0,0,0,38,70,"0.93"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Loxford School of Science & Techonology",120,177,122,0,0,0,12,110,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Manford Primary School",60,154,61,0,0,0,25,36,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Manford Primary School",60,161,60,2,0,1,24,33,"1.123"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Manford Primary School",60,82,43,0,0,0,16,27,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Manford Primary School",60,95,44,0,0,0,26,18,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Manford Primary School",90,125,58,0,0,0,31,27,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Manford Primary School",60,126,60,0,0,0,27,33,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Mayespark Primary School",90,205,90,0,0,0,37,53,"30 additional places agreed after the initial allocations were made on 04 April 2011"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Mayespark Primary School",90,172,90,0,0,0,35,55,"30 additional places agreed after the initial allocations were made on 29 March 2010"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Mayespark Primary School",90,178,90,0,0,0,37,53,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Mayespark Primary School",90,161,90,1,0,0,49,40,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Mayespark Primary School",120,176,101,0,0,0,32,69,"1.168"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Mayespark Primary School",120,194,122,1,0,1,46,74,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2012","Mossford Green Primary Sch",60,158,61,0,0,0,13,48,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2013","Mossford Green Primary School",60,165,41,0,0,0,14,27,"1.452"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Mossford Green Primary School",30,74,30,0,0,1,13,16,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Mossford Green Primary School",30,85,29,0,0,0,7,22,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Mossford Green Primary School",30,94,30,0,0,0,15,15,"30 additional places agreed after the initial allocations were made on 29 March 2010"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Mossford Green Primary School",30,157,30,0,0,0,11,19,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2011","Newbury Park Primary School",120,347,120,0,0,1,56,63,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2010","Newbury Park Primary School",120,258,120,0,0,0,57,63,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2009","Newbury Park Primary School",120,263,120,0,0,0,51,69,""
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","2008","Newbury Park Primary School",120,217,109,1,0,0,40,68,""
